Ingredient,Preference,Type,Status,Confidence,Verify label,Notes
"2 Kalorien Ölspray, More Nutrition",Whole foods,Diet,Excluded,High,No,processed / branded
"2 Kalorien Ölspray, More Nutrition",Vegan whole food,Diet,Excluded,High,No,processed / branded
Adobo seasoning,Whole foods,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
Adobo seasoning,Vegan whole food,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
Adobo seasoning,Low FODMAP / IBS,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
All purpose seasoning,Celery allergy,Allergy/Intolerance,Verify against label,Low,Yes,savory blends/stocks often contain celery; blends/stocks usually contain onion/garlic; processed / branded
All purpose seasoning,Whole foods,Diet,Verify against label,Low,Yes,savory blends/stocks often contain celery; blends/stocks usually contain onion/garlic; processed / branded
All purpose seasoning,Vegan whole food,Diet,Verify against label,Low,Yes,savory blends/stocks often contain celery; blends/stocks usually contain onion/garlic; processed / branded
All purpose seasoning,Low FODMAP / IBS,Diet,Verify against label,Low,Yes,savory blends/stocks often contain celery; blends/stocks usually contain onion/garlic; processed / branded
All-purpose Greek seasoning,Celery allergy,Allergy/Intolerance,Verify against label,Low,Yes,savory blends/stocks often contain celery; blends/stocks usually contain onion/garlic; processed / branded
All-purpose Greek seasoning,Whole foods,Diet,Verify against label,Low,Yes,savory blends/stocks often contain celery; blends/stocks usually contain onion/garlic; processed / branded
All-purpose Greek seasoning,Vegan whole food,Diet,Verify against label,Low,Yes,savory blends/stocks often contain celery; blends/stocks usually contain onion/garlic; processed / branded
All-purpose Greek seasoning,Low FODMAP / IBS,Diet,Verify against label,Low,Yes,savory blends/stocks often contain celery; blends/stocks usually contain onion/garlic; processed / branded
"Allspice, ground",Whole foods,Diet,Verify against label,Low,Yes,processed / branded
"Allspice, ground",Vegan whole food,Diet,Verify against label,Low,Yes,processed / branded
"Allspice, whole",Whole foods,Diet,Verify against label,Low,Yes,processed / branded
"Allspice, whole",Vegan whole food,Diet,Verify against label,Low,Yes,processed / branded
"Allulose, granulated",Paleo friendly,Diet,Verify against label,Low,Yes,sweetener/additive not strictly paleo
Almond extract,Tree nut allergy,Allergy/Intolerance,Excluded,Medium,Yes,extracts usually contain alcohol - verify; trace alcohol; tree nut; almond cross-reacts with stone fruit; processed / branded
Almond extract,Stone fruit allergy,Allergy/Intolerance,Verify against label,Medium,Yes,extracts usually contain alcohol - verify; trace alcohol; tree nut; almond cross-reacts with stone fruit; processed / branded
Almond extract,Halal,Diet,Verify against label,Medium,Yes,extracts usually contain alcohol - verify; trace alcohol; tree nut; almond cross-reacts with stone fruit; processed / branded
Almond extract,Whole foods,Diet,Verify against label,Medium,Yes,extracts usually contain alcohol - verify; trace alcohol; tree nut; almond cross-reacts with stone fruit; processed / branded
Almond extract,Vegan whole food,Diet,Verify against label,Medium,Yes,extracts usually contain alcohol - verify; trace alcohol; tree nut; almond cross-reacts with stone fruit; processed / branded
Almond extract,Pregnancy friendly,Diet,Verify against label,Medium,Yes,extracts usually contain alcohol - verify; trace alcohol; tree nut; almond cross-reacts with stone fruit; processed / branded
"Ancho chile, dried",Sulfite allergy,Allergy/Intolerance,Verify against label,Low,Yes,may contain added sulfites; moderate/variable histamine
"Ancho chile, dried",Histamine intolerance,Allergy/Intolerance,Verify against label,Low,Yes,may contain added sulfites; moderate/variable histamine
Apple cider vinegar,Fructose intolerance,Allergy/Intolerance,Verify against label,Medium,Yes,fruit-derived; may contain added sulfites; fermented/aged/vinegar; high-FODMAP fruit/sweetener
Apple cider vinegar,Sulfite allergy,Allergy/Intolerance,Verify against label,Medium,Yes,fruit-derived; may contain added sulfites; fermented/aged/vinegar; high-FODMAP fruit/sweetener
Apple cider vinegar,Histamine intolerance,Allergy/Intolerance,Excluded,Medium,Yes,fruit-derived; may contain added sulfites; fermented/aged/vinegar; high-FODMAP fruit/sweetener
Apple cider vinegar,Low FODMAP / IBS,Diet,Verify against label,Medium,Yes,fruit-derived; may contain added sulfites; fermented/aged/vinegar; high-FODMAP fruit/sweetener
Aquafaba (chickpea liquid),Paleo friendly,Diet,Excluded,High,No,grain/legume/refined
"Arbol chile, dried",Sulfite allergy,Allergy/Intolerance,Verify against label,Low,Yes,may contain added sulfites; moderate/variable histamine
"Arbol chile, dried",Histamine intolerance,Allergy/Intolerance,Verify against label,Low,Yes,may contain added sulfites; moderate/variable histamine
"Asafetida/Hing, ground",Wheat allergy,Allergy/Intolerance,Excluded,Medium,Yes,asafetida powder is cut with wheat flour; used as onion/garlic substitute; wheat
"Asafetida/Hing, ground",Gluten intolerance,Allergy/Intolerance,Excluded,Medium,Yes,asafetida powder is cut with wheat flour; used as onion/garlic substitute; wheat
"Asafetida/Hing, ground",Low FODMAP / IBS,Diet,Verify against label,Medium,Yes,asafetida powder is cut with wheat flour; used as onion/garlic substitute; wheat
"Avocado Topping, More Nutrition",Milk allergy,Allergy/Intolerance,Verify against label,Medium,Yes,flavor powders may contain milk; moderate/variable histamine; processed / branded
"Avocado Topping, More Nutrition",Lactose intolerance,Allergy/Intolerance,Verify against label,Medium,Yes,flavor powders may contain milk; moderate/variable histamine; processed / branded
"Avocado Topping, More Nutrition",Histamine intolerance,Allergy/Intolerance,Verify against label,Medium,Yes,flavor powders may contain milk; moderate/variable histamine; processed / branded
"Avocado Topping, More Nutrition",Whole foods,Diet,Excluded,Medium,Yes,flavor powders may contain milk; moderate/variable histamine; processed / branded
"Avocado Topping, More Nutrition",Vegan whole food,Diet,Excluded,Medium,Yes,flavor powders may contain milk; moderate/variable histamine; processed / branded
Baking powder,Whole foods,Diet,Verify against label,Low,Yes,processed / branded
Baking powder,Vegan whole food,Diet,Verify against label,Low,Yes,processed / branded
